Source Name,Type (News or CSO),"Regional Level (Regional, National, International)",NUTS (if applicable for regional offices),Description,Link,Independence Rating,Notes,Country,Wiki Source
Avgi,News,National (Athens),EL3,A mouthpiece for the socialist party Syriza.,https://www.avgi.gr/,Labeled as left-wing.,,Greece,
Efimerida ton Syntakton,News,National (Athens),EL3,,https://www.efsyn.gr/,Labeled as centre-left.,,Greece,
Dimokratia,News,National (Athens),EL3,Represents strictly conservative and patriotic views.,https://www.dimokratia.gr/,Labeled as conservative.,,Greece,
Infowar,News,National (Athens),EL3,,https://info-war.gr/,Labeled as left-wing.,,Greece,
Athens-Macedonian News Agency,News,International (Athens),EL3,,https://www.amna.gr/,,,Greece,
e-Thessalia,News,Regional (Thessaly),EL6,,https://e-thessalia.gr/,,,Greece,
Corfu News,News,Regional (Corfu),EL6,,https://corfutvnews.gr/,,,Greece,
Peloponnese,News,Regional (Peloponnese),EL6,,https://pelop.gr/,,,Greece,
El Periódico de España,News,Regional (Madrid),ES3,,https://www.epe.es/es/,,,Spain,
El Nacional,News,Regional (Barcelona),ES5,"From their website: ""ElNacional.cat is committed solely to providing unbiased reporting and objective information for its readers.""",https://www.elnacional.cat/,Labeled as separatist. ,,Spain,
El Español,News,National (Madrid),ES3,,https://www.elespanol.com/,Labeled as conservative.,,Spain,
infoLibre,News,National (Madrid),ES3,,https://www.infolibre.es/,Wiki: Has a left-wing editorial line.,,Spain,https://es.wikipedia.org/wiki/Infolibre
Mallorca Zeitung,News,Regional (Mallorca),ES5,,https://www.mallorcazeitung.es/,German language newspaper. ,,Spain,
El Diario de Sevilla,News,Regional (Sevilla),ES6,,https://www.diariodesevilla.es/,,,Spain,
Ara,News,Regional (Barcelona),ES5,,https://www.ara.cat/,Wiki: Labels it as centrist. Editorial policies are not considered to be supportive of any particular party or specific political ideology. The paper is strongly Catalanist and supportive of their right to self-determination.,,Spain,https://en.wikipedia.org/wiki/Ara_(newspaper)
El Confidencial,News,National (Madrid),ES3,,https://www.elconfidencial.com/,Labeled as liberal-conservative.,,Spain,
Público,News,National (Madrid),ES3,,https://www.publico.es/,Labeled as left-wing.,,Spain,
La Vanguardia,News,National (Barcelona),ES5,,https://www.lavanguardia.com/,Labeled as liberal-conservative.,,Spain,
La Razón,News,National (Madrid),ES3,"Has close ties to the Catholic Church, supports a centralised state and defends the monarchy's image.",https://www.larazon.es/,Labeled as conservative.,,Spain,
La Marea,News,"National (Madrid, Barcelona)",ES3; ES5,,https://www.lamarea.com/,Labeled as left-wing.,,Spain,
El Punt Avui,News,Regional (Girona),ES5,Its stance is more left-wing and decidedly separatist.,https://www.elpuntavui.cat/barcelona.html,Labeled as left-wing.,,Spain,
Expansión,News,National (Madrid),ES3,,https://www.expansion.com/,Labeled as conservative.,,Spain,
El HuffPost,News,National (Madrid),ES3,,http://www.huffingtonpost.es/,Labeled as centre-left.,,Spain,
El Economista ,News,National (Madrid),ES3,,https://www.eleconomista.es/,Labeled as liberal-conservative.,,Spain,
El Diario,News,National (Madrid),ES3,,https://www.eldiario.es/,Labeled as left-wing.,,Spain,
El Correo,News,Regional (Bilbao),ES2,,https://www.elcorreo.com/,Labeled as conservative. ,,Spain,
Cinco Días,News,National (Madrid),ES3,"Since 1989 it has belonged to the media group Prisa (El País, As), which traditionally has had a socialist bent.",https://cincodias.elpais.com/,Labeled as centre-left.,,Spain,
20 minutos,News,National (Madrid),ES3,,https://www.20minutos.es/,Labeled as liberal.,,Spain,
El País,News,National (Madrid),ES3,It takes a sceptical to hostile view of the left-wing party Podemos and the separatist movement in Catalonia.,https://elpais.com/?ed=es,Labeled as centre-left.,,Spain,
El Mundo,News,National (Madrid),ES3,"It differs from its competitor, the traditional newspaper ABC, in that it provides more critical, frequently polemic commentary, and as a result it has frequently been accused of partisan journalism.",https://www.elmundo.es/,Labeled as conservative.,,Spain,
ABC,News,National (Madrid),ES3,It condemns the autonomous regions' push for independence in its commentaries,https://www.abc.es/,Labeled as conservative.,,Spain,
El Periódico de Catalunya,News,National (Barcelona),ES5,,https://www.elperiodico.com/es/,Labeled as centre-left.,,Spain,
Revista Contexto (CTXT),News,National (Madrid),ES3,The honorary president is the left-wing intellectual Noam Chomsky.,https://ctxt.es/,Labeled as centre-left.,,Spain,
Agencia EFE,News,International (Madrid),,International news agency in English language.,https://efe.com/en/,,,Spain,
Costa Blanca News,News,Regional (Alicante),ES5,English language.,https://www.costa-news.com/,,,Spain,
El Día,News,Regional (Canary Islands),ES7,,https://www.eldia.es/,Wiki: Political Alignment - Canarian nationalism.,,Spain,
Faro de Vigo ,News,Regional (Pontevedra),ES1,,https://www.farodevigo.es/,Wiki: Political Alignment - Centrist.,,Spain,https://en.wikipedia.org/wiki/Faro_de_Vigo
Heraldo de Aragón,News,Regional (Saragossa),ES2,,https://www.heraldo.es/,Wiki: Political Alignment - Conservative.,,Spain,https://en.wikipedia.org/wiki/Heraldo_de_Arag%C3%B3n#cite_note-mgp15-5
Ideal,News,"Regional (Granada, Almeria, Jaén)",ES6,,https://www.ideal.es/,,,Spain,
Informacion de Alicante,News,Regional (Alicante),ES5,,https://www.informacion.es/,,,Spain,
El Norte de Castilla,News,"Regional (Valladolid, Palencia, Salamanca, Segovia) ",ES4,Wiki: Considered to be the most reliable and influential periodical in Castile.,https://www.elnortedecastilla.es/,,,Spain,https://en.wikipedia.org/wiki/El_Norte_de_Castilla
El Progreso,News,Regional (Galicia),ES1,,https://www.elprogreso.es/,,,Spain,
SUR,News,Regional (Málaga),ES6,,https://www.diariosur.es/,,,Spain,
SUR in English,News,Regional (Sur),ES6,English language.,https://www.surinenglish.com/,,,Spain,
La Voz de Galicia,News,Regional (Galicia),ES1,,https://www.lavozdegalicia.es/,Wiki: Political Alignment - Conservatism.,,Spain,https://en.wikipedia.org/wiki/La_Voz_de_Galicia
El Periódico Extremadura,News,Regional (Cáceres),ES4,,https://www.elperiodicoextremadura.com/,,,Spain,
Canarias7,News,Regional (Canary Islands),ES7,,https://www.canarias7.es/,,,Spain,
Etelä-Suomen Sanoma,News,Regional (Lahti),FI1C,,https://www.ess.fi/,Labeled as liberal.,,Finland,
Yle,News,National (Helsinki),FI1B,,https://yle.fi/,Swedish language news service of the Finnish national broadcaster.,,Finland,
Ilkka,News,Regional (Seinäjoki),FI1,,https://ilkkapohjalainen.fi/,Labeled as liberal.,,Finland,
Etelä-Saimaa,News,Regional (Lappeenranta),FI1C,,https://www.esaimaa.fi/,Labeled as liberal.,,Finland,
Turun Sanomat,News,Regional (Turku),FI1C,Tabloid,https://www.ts.fi/,Labeled as liberal.,,Finland,
Suomenmaa,News,National (Oulu),FI1D,The newspaper of the liberal Centre Party.,https://www.suomenmaa.fi/,Labeled as liberal-conservative.,,Finland,
Suomen Kuvalehti,News,National (Helsinki),FI1B,,https://suomenkuvalehti.fi/,Labeled as liberal.,,Finland,
Savon Sanomat,News,Regional (Kuopio),FI1D,,https://www.savonsanomat.fi/,Labeled as liberal.,,Finland,
Maaseudun Tulevaisuus,News,National (Helsinki),FI1B,,https://www.maaseuduntulevaisuus.fi/,Labeled as liberal-conservative.,,Finland,
Lapin Kansa,News,Regional (Rovaniemi),,Tabloid,https://www.lapinkansa.fi/,Labeled as liberal.,,Finland,
Keskisuomalainen,News,Regional (Jyväskylä),FI1D,,https://www.ksml.fi/,Labeled as liberal-conservative.,,Finland,
Karjalainen,News,Regional (Joensuu),FI1D,,https://www.karjalainen.fi/,Labeled as liberal.,,Finland,
Kansan Uutiset,News,National (Helsinki),FI1B,Left Alliance's official organ.,https://www.ku.fi/,Labeled as left-wing.,,Finland,
Kaleva,News,Regional (Oulu),FI1D,,https://www.kaleva.fi/,Labeled as liberal.,,Finland,
Kainuun Sanomat,News,Regional (Kajaani),FI1D,,https://www.kainuunsanomat.fi/,Labeled as liberal.,,Finland,
Satakunnan Kansa,News,Regional (Pori),FI19,,https://www.satakunnankansa.fi/,Labeled as liberal.,,Finland,
Iltalehti,News,National (Helsinki),FI1B,Tabloid,https://www.iltalehti.fi/,Labeled as liberal.,,Finland,
Hufvudstadsbladet,News,Regional (Helsinki),FI1B,Tabloid. A mouthpiece for the country's Swedish-speaking minority.,https://www.hbl.fi/,Labeled as liberal.,,Finland,
Helsingin Sanomat,News,National (Helsinki),FI1B,,https://www.hs.fi/,Labeled as liberal.,,Finland,
Hämeen Sanomat,News,Regional (Hämeenlinna),FI1C,,https://www.hameensanomat.fi/,Labeled as liberal.,,Finland,
Demokraatti,News,National (Helsinki),FI1B,Social Democrats' party newspaper.,https://www.demokraatti.fi/,Labeled as centre-left.,,Finland,
Ilta-Sanomat,News,National (Helsinki),FI1B,Tabloid,https://www.is.fi/,Labeled as liberal.,,Finland,
Aamulehti,News,Regional (Tampere),FI19,Tabloid,https://www.aamulehti.fi/,Labeled as liberal-conservative.,,Finland,
Kauppalehti,News,National (Helsinki),FI1B,,https://www.kauppalehti.fi/,Labeled as liberal.,,Finland,
Pohjalainen,News,Regional (Vaasa),FI19,,https://ilkkapohjalainen.fi/,Labeled as liberal.,,Finland,
Länsi-Savo,News,Regional (Mikkeli),FI1D,,https://www.lansi-savo.fi/,,,Finland,
The Conversation,News,National (Paris),FR1,,https://theconversation.com/fr,,,France,
Valeurs actuelles,News,National (Paris),FR1,"Classified as staunchly right-wing. In 2015 it was convicted of inciting discrimination, hatred, and violence against the Roma.",https://www.valeursactuelles.com/,Labeled as right-wing.,,France,
RTL ,News,National (Neuilly sur Seine),FR1,,https://www.rtl.fr/,,,France,
La Croix,News,National (Paris),FR1,Catholic newspaper,https://www.la-croix.com/,Religious and social issues are prioritised but La Croix is also known for its quality political reporting.,,France,
Atlantico,News,National (Paris),FR1,,https://atlantico.fr/,Labeled as conservative.,,France,
Le HuffPost,News,National (Paris),FR1,,https://www.huffingtonpost.fr/,Labeled as centre-left.,,France,
Le Drenche,News,National (Paris),FR1,"Its name stands for the wide spectrum of opinions presented: DRoite (right), CENTER (centre), GAUCHE (left).",https://ledrenche.fr/,,,France,
Le Parisien,News,National (Paris),FR1,It has come under frequent criticisism for publishing content influenced by LVMH boss Bernard Arnault.,https://www.leparisien.fr/,,,France,
Causeur,News,National (Paris),FR1,,https://www.causeur.fr/,Labeled as conservative.,,France,
Politis,News,National (Paris),FR1,,https://www.politis.fr/,Labeled as left-wing.,,France,
Rue89,News,National (Paris),FR1,,https://www.nouvelobs.com/rue89/,Labeled as centre-left.,,France,
Sud Ouest,News,Regional (Bordeaux),FRI,,https://www.sudouest.fr/,,,France,
Slate,News,National (Paris),FR1,,https://www.slate.fr/,Labeled as liberal-conservative.,,France,
Ouest-France,News,"Regional (Île de France, Bretagne, Normandie, Pays de la Loire, Auvergne-Rhone-Alpes, Bourgogne-Franche-Comte, Centre-Val de Loire, Corse, Grand Est, Hauts-de-France, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d’Azur, La Guadeloupe, La Guyane, La Martinique, La Reunion, Mayotte)",FR1; FRH; FRD; FRG; FRK; FRC; FRB; FRM; FRF; FRE; FRI; FRJ; FRL; FRY; ,,https://www.ouest-france.fr/,Labeled as liberal.,,France,
Mediapart,News,National (Paris),FR1,,https://www.mediapart.fr/,Labeled as left-wing.,,France,
Marianne,News,National (Paris),FR1,Its stance is provocative and critical of the government.,https://www.marianne.net/,Labeled as left-wing.,,France,
L'Obs,News,National (Paris),FR1,,https://www.nouvelobs.com/,Labeled as left-wing.,,France,
L’Humanité,News,National (Paris),FR1,"Between 1920 and 1994 the paper was the organ of the French Communist Party, which is still the majority shareholder today.",https://www.humanite.fr/,Labeled as far left.,,France,
L'Express,News,National (Paris),FR1,,https://www.lexpress.fr/,Labeled as liberal-conservative.,,France,
Les Echos,News,National (Paris),FR1,,https://www.lesechos.fr/,Labeled as liberal.,,France,
Le Point,News,National (Paris),FR1,,https://www.lepoint.fr/,Labeled as liberal-conservative.,,France,
Le Monde Diplomatique,News,National (Paris),FR1,,https://www.monde-diplomatique.fr/,Labeled as left-wing.,,France,
Le Monde,News,National (Paris),FR1,,https://www.lemonde.fr/,Labeled as centre-left.,,France,
Le Journal du Dimanche,News,National (Paris),FR1,,https://www.lejdd.fr/,Labeled as right-wing.,,France,
La Tribune,News,National (Paris),FR1,,https://www.latribune.fr/,Labeled as liberal.,,France,
La Provence,News,Regional (Marseille),FRL,,https://www.laprovence.com/,Labeled as conservative.,,France,
Les Dernières Nouvelles d'Alsace,News,Regional (Strasbourg),FRF,,https://www.dna.fr/,,,France,
Courrier International,News,National (Paris),FR1,,https://www.courrierinternational.com/,Labeled as liberal.,,France,
Contrepoints,News,National (Paris),FR1,,https://www.contrepoints.org/,Labeled as liberal.,,France,
Boulevard Voltaire,News,National (Paris),FR1,Ménard's close ties to the Rassemblement National and the fact that he became Mayor of Béziers with its help in 2014 mean that the magazine's autonomy is often called into question.,https://www.bvoltaire.fr/,Labeled as right-wing.,,France,
Alternatives économiques,News,National (Paris),FR1,,https://www.alternatives-economiques.fr/,Labeled as left-wing.,,France,
L'Opinion,News,National (Paris),FR1,,https://www.lopinion.fr/,Labeled as liberal.,,France,
Libération,News,National (Paris),FR1,,https://www.liberation.fr/,Labeled as centre-left.,,France,
Le Figaro,News,National (Paris),FR1,Considered France's most important conservative paper.,https://www.lefigaro.fr/,Labeled as liberal-conservative.,,France,
20 minutes,News,"Regional (Paris, Marseille, Lyon, Toulouse, Nice, Nantes, Strasbourg, Montpellier, Bordeaux, Lille, Rennes, Grenoble)",FR1; FRL; FRJ; FRG; FRF; FRI; FRE; FRH; FRK,,https://www.20minutes.fr/,,,France,
L'Alsace,News,Regional (Alsace),FRF,,https://www.lalsace.fr/,,,France,
La Dépêche du Midi,News,Regional (Occitanie),FRJ,,https://www.ladepeche.fr/,,,France,
L'Est Républicain,News,Regional (Nancy),FRF,,https://www.estrepublicain.fr/,,,France,
France 24,News,International,,,https://www.france24.com/en/,,,France,
Lyon Capitale,News,Regional (Lyon),FRK,,https://www.lyoncapitale.fr/,,,France,
Midi Libre,News,Regional (Montpellier),FRJ,,https://www.midilibre.fr/,,,France,
Nici-Matin,News,Regional (Nice),FRL,,https://www.nicematin.com/,,,France,
L'Obs,News,Regional (Paris),FR1,,https://www.nouvelobs.com/,,,France,
La Provence,News,Regional (Marseille),FRL,,https://www.laprovence.com/,,,France,
France Bleu,News,"Regional (Auvergne-Rhône-Alpes, Bourgogne-Franche-Comte, Bretagne, Centre-Val de Loire, Corse, Grand Est, Hauts-de-France, Ile-de-France, Normandie, Nouvelle-Aquitaine, Occitanie, Pays de la Loire, Provence-Alpes-Cote d'Azur)",FRK; FRC; FRH; FRB; FRM; FRF; FRE; FR1; FRD; FRI; FRJ; FRG; FRL,,https://www.francebleu.fr/,,,France,
Telegram,News,National (Zagreb),HR05,Its reporting has quickly established itself as a site critical of the government alongside investigative journalism,https://www.telegram.hr/,Labeled as liberal.,,Croatia,
Index,News,National (Zagreb),HR05,,https://www.index.hr/,Labeled as centre-left.,,Croatia,
Tportal,News,National (Zagreb),HR05,"The website is seen as largely independent of the political parties however its content tends to reflect the political views of its owner, Hrvatski Telekom.",https://www.tportal.hr/,Labeled as liberal.,,Croatia,
Slobodna Dalmacija,News,National (Split),HR03,,https://slobodnadalmacija.hr/,Labeled as liberal.,,Croatia,
Novosti,News,National (Zagreb),HR05,,https://www.portalnovosti.com/,Labeled as left-wing.,,Croatia,
Novi list,News,National (Rijeka),HR03,,https://www.novilist.hr/,Labeled as centre-left.,,Croatia,
Globus,News,National (Zagreb),HR05,,https://www.jutarnji.hr/globus/,Labeled as liberal.,,Croatia,
Express,News,National (Zagreb),HR05,,https://express.24sata.hr/,Labeled as liberal-conservative.,,Croatia,
24 Sata,News,National (Zagreb),HR05,Tabloid; Consistent sensationalism and conservativism,https://www.24sata.hr/,Labeled as conservative.,,Croatia,
Jutarnji list,News,National (Zagreb),HR05,,https://www.jutarnji.hr/,Labeled as liberal.,,Croatia,
Večernji list ,News,National (Zagreb),HR05,"With its takeover by Austria's Styria Media Group AG the newspaper's national conservative orientation was reinforced, and its commentaries now provide space for political views that range from liberal-conservative to protofascist. Večernji list is closely aligned with the national conservative HDZ party.",https://www.vecernji.hr/,Labeled as conservative.,,Croatia,
Glas Slavonije,News,Regional (Osijek),HR02,,http://www.glas-slavonije.hr/default.asp,,,Croatia,
Hina News Line,News,National,,,https://www.hina.hr/,,,Croatia,
Nacional,News,National (Zagreb),HR05,,https://www.nacional.hr/,,,Croatia,
Poslovni dnevnik,News,National (Zagreb),HR05,,https://www.poslovni.hr/,,,Croatia,
Sjeverni,News,Regional (Northern Croatia),HR06,,https://www.sjeverni.info/,,,Croatia,
Sjever,News,"Regional (Northern Croatia, Pannonian Croatia)",HR02; HR06,,https://sjever.hr/,,,Croatia,
Euronews Hungary,News,International,,,https://www.eurotopics.net/en/282566/euronews-hungary,,,Hungary,
Hírklikk,News,National,,"Owner and editor-in-chief, media entrepreneur Zoltán Wirth, has close ties to the Hungarian social democratic party MSZP.",https://hirklikk.hu/,Labeled as centre-left.,,Hungary,
Telex,News,National,,,https://telex.hu/,,,Hungary,
Portfolio,News,National,,,https://www.portfolio.hu/,,,Hungary,
Nyugati Fény,News,National,,Nyugati Fény is seen as a medium with close ties to the left-wing liberal opposition party Democratic Coalition (DK).,https://nyugatifeny.hu/,Labeled as being critical of the government.,,Hungary,
Vasarnap,News,National (Budapest),HU1,"Published by the foundation of the smaller government party, the Christian Democratic Party Kereszténydemokrata Néppárt (KDNP)",https://vasarnap.hu/,,,Hungary,
Azonnali,News,National (Budapest),HU1,The majority in the publishing house is now held by parliamentarian Péter Ungár of the Hungarian Green Party (LMP).,https://azonnali.hu/,,,Hungary,
Válasz Online,News,National (Budapest),HU1,It is critical of the government and defines itself as middle-class-conservative.,https://www.valaszonline.hu/,Labeled as conservative.,,Hungary,
Magyar Hang,News,National (Budapest),HU1,,https://hang.hu/,Labeled as liberal-conservative.,,Hungary,
Origo,News,National (Budapest),HU1,The publishing house has belonged to the pro-government media foundation Közép-Európai Sajtó-és Média Alapítvány (KESMA) since 2018.,https://www.origo.hu/index.html,Pro-government,,Hungary,
888,News,National (Budapest),HU1,"A pro-government website operating under the motto, ""We are Soros's opposition"".",https://www.origo.hu/888/index.html,Pro-government,,Hungary,
168 óra,News,National (Budapest),HU1,"Nowadays 168 óra is an opposition paper which mainly features interviews with politicians, economists, political analysts, centre-left intellectuals and artists.",https://168.hu/,Labeled as centre-left.,,Hungary,
24,News,National (Budapest),HU1,,https://24.hu/,Labeled as being critical of the government.,,Hungary,
Reflektor,News,National (Budapest),HU1,,,,,Hungary,
Magyar Nemzet,News,National (Budapest),HU1,Pro-government,https://magyarnemzet.hu/,,,Hungary,
Szuverén,News,National (Budapest),HU1,,https://szuveren.hu/,Labeled as liberal.,,Hungary,
Mérce ,News,National (Budapest),HU1,,https://merce.hu/,Labeled as left-wing.,,Hungary,
444,News,National (Budapest),HU1,An anti-government website,https://444.hu/,Labeled as being critical of the government.,,Hungary,
Magyar Narancs,News,National (Budapest),HU1,,https://magyarnarancs.hu/,Labeled as centre-left.,,Hungary,
Magyar Hírlap,News,National (Budapest),HU1,"Pro-government, anti-globalist and patriotic. Seen as the sometimes radical mouthpiece of the national conservative ruling party Fidesz.",https://www.magyarhirlap.hu/,Labeled as nationalistic.,,Hungary,
Index,News,National (Budapest),HU1,"It is seen as one of the country's few remaining independent journalistic heavyweights. In March 2020 some stakes were sold to the pro-government media entrepreneur Miklós Vaszily, who is also chairman of the pro-government private television broadcaster TV2. ",https://index.hu/,,,Hungary,
HVG,News,National (Budapest),HU1,An opposition weekly paper,https://hvg.hu/,Labeled as centre-left.,,Hungary,
Figyelő,News,National (Budapest),HU1,,https://www.eurotopics.net/en/148540/figyel,Labeled as being pro-government.,,Hungary,
Élet és Irodalom,News,National (Budapest),HU1,,https://www.es.hu/,Labeled as centre-left.,,Hungary,
Népszava,News,National (Budapest),HU1,The last remaining daily newspaper in Hungary that is independent of the government.,https://nepszava.hu/,Labeled as left-wing.,,Hungary,
Magyar Demokrata,News,National (Budapest),HU1,Far-right national conservative weekly that is loyal to Viktor Orbán's government.,https://demokrata.hu/,Labeled as nationalistic.,,Hungary,
Kisalföld,News,Regional (Győr),HU2,"Publishing house belongs to Mediaworks Zrt., that has close ties to the government and has belonged to the pro-government KESMA media foundation since the end of 2018",https://www.kisalfold.hu/,Labeled as pro-government.,,Hungary,
Magyar Idők,News,National (Budapest),HU1,,https://www.magyaridok.hu/,Labeled as pro-government.,,Hungary,
Budapest Business Journal,News,National (Budapest),HU1,,https://bbj.hu/politics,,,Hungary,
Dunaújváros,News,Regional (Dunaújváros),HU2,,https://dunaujvaros.com/,,,Hungary,
Népszava,News,National (Budapest),HU1,,https://nepszava.hu/,,,Hungary,
Jelen,News,National (Budapest),HU1,,https://jelen.media/,,,Hungary,
Boon,News,Regional (Borsod-Abaúj-Zemplén),HU3,,https://www.boon.hu/,,,Hungary,
Dél-Alföld Info,News,Regional (Dél-Alföld),HU3,,https://delalfoldinfo.hu/,,,Hungary,
Fora,News,National (Dublin),IE06,,https://fora.ie/,Labeled as liberal.,,Ireland,
The Sunday Times Ireland,News,National (Dublin),IE06,,https://www.thetimes.co.uk/#section-ireland,Labeled as conservative.,,Ireland,
The Journal,News,National (Dublin),IE06,,https://www.thejournal.ie/,Labeled as liberal.,,Ireland,
Business Post,News,National (Dublin),IE06,,https://www.businesspost.ie/,Labeled as liberal.,,Ireland,
RTE News,News,National (Dublin),IE06,It's legally constrained to political impartiality (semi-state owned),https://www.rte.ie/news/,,,Ireland,
The Irish Times,News,National (Dublin),IE06,,https://www.irishtimes.com/,Labeled as centre-left.,,Ireland,
Irish Independent,News,National (Dublin),IE06,,https://www.independent.ie/,Labeled as conservative.,,Ireland,
Irish Examiner,News,National (Cork),IE05,,https://www.irishexaminer.com/,Labeled as liberal.,,Ireland,
Nenagh Guardian,News,Regional (County Tipperary),IE05,,https://www.nenaghguardian.ie/,,,Ireland,
The Irish News,News,Regional (Northern Ireland),IE04,,https://www.irishnews.com/,Wiki: Labeled as centre-left.,,Ireland,https://en.wikipedia.org/wiki/The_Irish_News
Galway Daily,News,Regional (Galway),IE04,,https://www.galwaydaily.com/,,,Ireland,
Corriere della Sera,News,"Both (Milano, Roma, Bergamo, Bologna, Veneto, Padova, Treviso, Verona, Napoli, Palermo, Caserta, Catania, Vivimilano, Torino, Brescia, Firenze, Venezia, Rovigo, Belluno, Vicenza, Bari, Salerno, Foggia, Lecce)",ITC; ITI; ITH; ITF; ITG,It is itself influenced by large corporations,https://www.corriere.it/,Labeled as liberal-conservative.,,Italy,
La Repubblica,News,National (Rome),ITI,Closely aligned with the reformist wing of the ruling centre-left coalition,https://www.repubblica.it/,Labeled as centre-left.,,Italy,
MicroMega,News,National,," Originally provided with the subtitle ""Leftist Reasoning"", the magazine has abandoned this subtitle and instead assigned a thematic subtitle to each issue. In doing so, it aims to underline its affiliation to ""a left that is openly heretical and radically free from party affiliation"" and to be a ""tool for thinking and change against the prevailing conformisms"".",https://www.micromega.net/,,,Italy,
Il Post,News,National (Milan),ITC,,https://www.ilpost.it/,Labeled as left-wing.,,Italy,
L'Espresso,News,National (Rome),ITI,,https://espresso.repubblica.it/,Labeled as centre-left.,,Italy,
La Voce,News,National,,https://lavoce.info/,,Labeled as liberal.,,Italy,
Panorama,News,National (Segrate),ITC,Belongs to the media empire of four-time Italian prime minister Silvio Berlusconi.,https://www.panorama.it/,Labeled as right-wing.,,Italy,
Il Sole 24 Ore,News,National (Milan),ITC,,https://www.ilsole24ore.com/,Labeled as liberal.,,Italy,
Il Giornale,News,National (Milan),ITC,Owing to financial difficulties founder Indro Montanelli accepted financial aid from Silvio Berlusconi in 1977. Nowadays the paper is better known for its sensationalism.,https://www.ilgiornale.it/,Labeled as right-wing.,,Italy,
Il Foglio Quotidiano,News,National (Milan),,"Founded by Giuliano Ferrara, who was a minister in Silvio Berlusconi's first government in 1994.",https://www.ilfoglio.it/,Labeled as conservative.,,Italy,
Il Fatto Quotidiano,News,National (Rome),ITI,,https://www.ilfattoquotidiano.it/,Labeled as left-wing.,,Italy,
HuffPost Italia,News,National (Rome),ITI,,https://www.huffingtonpost.it/,Labeled as centre-left.,,Italy,
Il Manifesto,News,National (Rome),ITI,,https://ilmanifesto.it/,Labeled as left-wing.,,Italy,
La Stampa,News,National (Turin),ITC,,https://www.lastampa.it/,,,Italy,
Alguer,News,Regional (Alguer),ITG,,https://www.alguer.it/,,,Italy,
Alto Adige ,News,Regional (Bolzano),ITH,,https://www.altoadige.it/,,,Italy,
Giornale di Sicilia,News,Regional (Sicily),ITG,,https://gds.it/,,,Italy,
Il Mattino,News,Regional (Naples),ITF,,https://www.ilmattino.it/,,,Italy,
Il Messaggero,News,Regional (Rome),ITI,,https://www.ilmessaggero.it/,,,Italy,
La Nuova Ferrara,News,Regional (Ferrara),ITH,,https://www.lanuovaferrara.it/,,,Italy,
La Nuova Sardegna,News,Regional (Sassari),ITG,,https://www.lanuovasardegna.it/,,,Italy,
La Nuova Venezia,News,Regional (Venice),ITH,,https://nuovavenezia.gelocal.it/venezia/,,,Italy,
Gazzetta di Modena,News,Regional (Modena),ITH,,https://www.gazzettadimodena.it/,,,Italy,
Il Piccolo,News,Regional (Trieste),ITH,,https://ilpiccolo.gelocal.it/trieste/,,,Italy,
La Sicilia,News,Regional (Sicily),ITG,,https://www.lasicilia.it/,,,Italy,
La Tribuna di Treviso,News,Regional (Treviso),ITH,,https://tribunatreviso.gelocal.it/treviso/,,,Italy,
L'Unione Sarda,News,Regional (Sardinia),ITG,,https://www.unionesarda.it/,,,Italy,
LaC News24,News,Regional (Calabria),ITF,,https://www.lacnews24.it/,,,Italy,
IQ,News,National (Vilnius),LT01,,https://iq.lt/,,,Lithuania,
Baltic News Service,News,National (Vilnius),LT01,,https://www.bns.lt/,,,Lithuania,
TV3,News,National (Vilnius),LT01,,https://www.tv3.lt/,Labeled as centre-left.,,Lithuania,
15min ,News,National (Vilnius),LT01,,https://www.15min.lt/,Labeled as liberal.,,Lithuania,
Diena,News,National (Vilnius),LT01,,https://www.diena.lt/,Labeled as liberal.,,Lithuania,
Verslo žinios,News,National (Vilnius),LT01,,https://www.vz.lt/,Labeled as liberal.,,Lithuania,
Valstybė,News,National (Vilnius),LT01,,https://www.valstybe.eu/,Labeled as liberal-conservative.,,Lithuania,
Mūsų Respublika,News,National (Vilnius),LT01,The paper and its owner Vitas Tomkus have been accused of being too close to certain political parties and companies. Under Tomkus's leadership the paper has adopted a eurosceptic and nationalist stance.,https://www.respublika.lt/,Labeled as nationalist.,,Lithuania,
Lrytas,News,National (Vilnius),LT01,,https://www.lrytas.lt/,Labeled as liberal.,,Lithuania,
Vakaro žinios,News,National (Vilnius),LT01,"Tabloid; Has a eurosceptic and nationalist stance, and it is also accused of being too close to certain political parties and companies.",https://www.respublika.lt/,Labeled as nationalist.,,Lithuania,
Delfi,News,National (Vilnius),LT01,,https://www.delfi.lt/,Labeled as liberal.,,Lithuania,
Bernardinai,News,National (Vilnius),LT01,Conservative Catholic website.,https://www.bernardinai.lt/,,,Lithuania,
Alfa,News,National (Vilnius),LT01,,https://www.alfa.lt/,Labeled as conservative.,,Lithuania,
LRT,News,National (Vilnius),LT01,,https://www.lrt.lt/,Labeled as liberal-conservative.,,Lithuania,
Balsas,News,National (Vilnius),LT01,,https://www.tv3.lt/,Labeled as centre-left.,,Lithuania,
Kauno diena,News,Regional (Kaunas),LT02,,https://kauno.diena.lt/,Labeled as liberal.,,Lithuania,
The Baltic Times,News,International,,,https://www.baltictimes.com/,,,Lithuania,
Šiaulių Kraštas,News,Regional (Šiauliai),LT02,,https://www.skrastas.lt/,,,Lithuania,
